run no,volume (mL),time (s),cyl size,flow,dV,dt
1,685,5.11,large,fast,5,0.5
2,730,5.30,large,fast,5,0.5
3,680,4.88,large,fast,5,0.5
4,810,5.98,large,fast,5,0.5
5,840,6.11,large,fast,5,0.5
6,730,5.32,large,fast,5,0.5
7,685,5.00,large,fast,5,0.5
8,700,5.04,large,fast,5,0.5
9,660,4.87,large,fast,5,0.5
10,700,5.11,large,fast,5,0.5
11,690,5.06,large,fast,5,0.5
12,670,4.90,large,fast,5,0.5
13,665,4.92,large,fast,5,0.5
14,630,4.52,large,fast,5,0.5
15,660,4.93,large,fast,5,0.5
16,670,5.05,large,fast,5,0.5
17,730,5.36,large,fast,5,0.5
18,720,5.42,large,fast,5,0.5
19,780,5.58,large,fast,5,0.5
20,680,5.11,large,fast,5,0.5
21,730,5.40,large,fast,5,0.5
22,670,5.01,large,fast,5,0.5
23,670,5.06,large,fast,5,0.5
24,670,5.06,large,fast,5,0.5
25,660,4.86,large,fast,5,0.5
26,650,4.89,large,fast,5,0.5
27,660,4.87,large,fast,5,0.5
28,710,5.13,large,fast,5,0.5
29,610,4.67,large,fast,5,0.5
30,610,4.53,large,fast,5,0.5
31,680,5.05,large,fast,5,0.5
32,640,4.77,large,fast,5,0.5
33,690,5.24,large,fast,5,0.5
34,650,4.82,large,fast,5,0.5
35,670,4.92,large,fast,5,0.5
36,660,5.01,large,fast,5,0.5
37,660,4.92,large,fast,5,0.5
38,660,4.79,large,fast,5,0.5
39,685,5.20,large,fast,5,0.5
40,665,4.96,large,fast,5,0.5
41,660,4.99,large,fast,5,0.5
42,720,5.32,large,fast,5,0.5
43,730,5.47,large,fast,5,0.5
44,640,4.72,large,fast,5,0.5
45,675,5.05,large,fast,5,0.5
46,670,4.89,large,fast,5,0.5
47,670,4.87,large,fast,5,0.5
48,720,5.12,large,fast,5,0.5
49,700,5.07,large,fast,5,0.5
50,745,5.50,large,fast,5,0.5
1,825,13.30,large,slow,5,0.5
2,1000,16.43,large,slow,5,0.5
3,630,10.36,large,slow,5,0.5
4,670,11.06,large,slow,5,0.5
5,660,10.69,large,slow,5,0.5
6,620,10.28,large,slow,5,0.5
7,610,10.12,large,slow,5,0.5
8,710,11.50,large,slow,5,0.5
9,560,8.98,large,slow,5,0.5
10,625,10.39,large,slow,5,0.5
11,640,10.69,large,slow,5,0.5
12,660,11.03,large,slow,5,0.5
13,643,10.45,large,slow,5,0.5
14,653,10.71,large,slow,5,0.5
15,703,11.75,large,slow,5,0.5
16,615,10.33,large,slow,5,0.5
17,559,9.33,large,slow,5,0.5
18,681,11.43,large,slow,5,0.5
19,659,10.98,large,slow,5,0.5
20,625,10.28,large,slow,5,0.5
21,651,10.65,large,slow,5,0.5
22,644,10.65,large,slow,5,0.5
23,652,10.64,large,slow,5,0.5
24,649,10.68,large,slow,5,0.5
25,652,10.77,large,slow,5,0.5
26,648,10.75,large,slow,5,0.5
27,548,9.17,large,slow,5,0.5
28,615,10.30,large,slow,5,0.5
29,640,9.90,large,slow,5,0.5
30,695,10.73,large,slow,5,0.5
31,601,10.03,large,slow,5,0.5
32,612,10.11,large,slow,5,0.5
33,671,11.27,large,slow,5,0.5
34,598,10.12,large,slow,5,0.5
35,652,10.90,large,slow,5,0.5
36,656,11.15,large,slow,5,0.5
37,605,10.23,large,slow,5,0.5
38,731,12.23,large,slow,5,0.5
39,619,10.38,large,slow,5,0.5
40,665,11.28,large,slow,5,0.5
41,620,10.33,large,slow,5,0.5
42,635,10.56,large,slow,5,0.5
43,620,10.37,large,slow,5,0.5
44,625,10.39,large,slow,5,0.5
45,615,10.31,large,slow,5,0.5
46,705,11.69,large,slow,5,0.5
47,597,10.03,large,slow,5,0.5
48,620,10.37,large,slow,5,0.5
49,604,10.05,large,slow,5,0.5
50,660,10.97,large,slow,5,0.5
1,26.8,0.63,small,fast,1,0.5
2,36.9,0.65,small,fast,1,0.5
3,35.1,0.79,small,fast,1,0.5
4,41.2,0.55,small,fast,1,0.5
5,43.5,0.66,small,fast,1,0.5
6,42.2,0.68,small,fast,1,0.5
7,37.9,0.72,small,fast,1,0.5
8,38.8,0.66,small,fast,1,0.5
9,47.1,0.60,small,fast,1,0.5
10,47.2,0.56,small,fast,1,0.5
11,39.5,0.65,small,fast,1,0.5
12,34.8,0.40,small,fast,1,0.5
13,35.5,0.55,small,fast,1,0.5
14,41.5,0.65,small,fast,1,0.5
15,48.8,0.60,small,fast,1,0.5
16,47.8,0.59,small,fast,1,0.5
17,41.3,0.61,small,fast,1,0.5
18,43.9,0.68,small,fast,1,0.5
19,41.4,0.66,small,fast,1,0.5
20,36.2,0.53,small,fast,1,0.5
21,35.8,0.50,small,fast,1,0.5
22,37.1,0.55,small,fast,1,0.5
23,41.0,0.55,small,fast,1,0.5
24,27.9,0.68,small,fast,1,0.5
25,43.9,0.55,small,fast,1,0.5
26,40.1,0.52,small,fast,1,0.5
27,41.8,0.59,small,fast,1,0.5
28,35.8,0.69,small,fast,1,0.5
29,46.1,0.62,small,fast,1,0.5
30,48.7,0.66,small,fast,1,0.5
