volume (mL),time (s),flow
281,2.59,fast
323,3.19,fast
288,2.72,fast
280,2.75,fast
317,3.08,fast
318,3.08,fast
272,2.63,fast
278,2.69,fast
317,3.06,fast
285,2.77,fast
316,2.98,fast
300,2.96,fast
336,3.16,fast
314,3.11,fast
343,3.41,fast
276,2.71,fast
331,3.2,fast
308,2.99,fast
289,2.83,fast
307,2.99,fast
300,2.81,fast
280,2.72,fast
273,2.73,fast
313,3.1,fast
350,3.36,fast
303,2.99,fast
298,2.92,fast
302,2.95,fast
333,3.2,fast
296,2.86,fast
288,2.86,fast
316,3.09,fast
279,2.68,fast
251,2.52,fast
300,2.84,fast
284,2.71,fast
323,3.18,fast
316,3.1,fast
232,2.27,fast
280,2.73,fast
191,6.84,slow
202,7.26,slow
185,6.52,slow
201,7.2,slow
200,7.16,slow
195,6.87,slow
205,7.3,slow
183,6.53,slow
197,6.98,slow
198,7.06,slow
199,7.17,slow
196,6.87,slow
204,7.27,slow
211,7.54,slow
204,7.24,slow
206,7.42,slow
203,7.25,slow
206,7.24,slow
196,6.91,slow
204,7.29,slow
196,7.01,slow
204,7.34,slow
198,7.04,slow
200,7.06,slow
200,7.67,slow
202,7.14,slow
198,7.02,slow
203,7.24,slow
205,7.32,slow
202,7.15,slow
194,6.93,slow
188,6.67,slow
198,6.97,slow
208,7.16,slow
194,6.85,slow
198,7.05,slow
203,7.03,slow
196,7.01,slow
192,6.77,slow
203,7.18,slow
