run,vol mL,time s,p1 mm,p2 mm,type,d1,d2,L
1,44,11.86,450,318,2.8,0.0028,0,0.36
2,47,12.43,450,318,2.8,0.0028,0,0.36
3,40,8.14,442,294,2.8,0.0028,0,0.36
4,47,9.95,442,294,2.8,0.0028,0,0.36
5,47,8.69,430,266,2.8,0.0028,0,0.36
6,48.5,9.06,430,266,2.8,0.0028,0,0.36
7,46.5,7.74,413,220,2.8,0.0028,0,0.36
8,45,7.43,413,220,2.8,0.0028,0,0.36
9,42,6.74,408,192,2.8,0.0028,0,0.36
10,40.5,5.66,408,192,2.8,0.0028,0,0.36
11,45.5,6.15,385,90,2.8,0.0028,0,0.36
12,43.2,5.93,385,90,2.8,0.0028,0,0.36
1,205,5.23,390,315,7.1,0.0071,0,0.36
2,208,5.19,390,315,7.1,0.0071,0,0.36
3,175,5.21,430,387,7.1,0.0071,0,0.36
4,168,5.32,430,387,7.1,0.0071,0,0.36
5,245,5.48,360,270,7.1,0.0071,0,0.36
6,240,5.56,360,270,7.1,0.0071,0,0.36
7,285,5.1,285,148,7.1,0.0071,0,0.36
8,295,5.49,285,148,7.1,0.0071,0,0.36
9,250,5.38,346,245,7.1,0.0071,0,0.36
10,245,5.48,346,245,7.1,0.0071,0,0.36
11,210,5.74,394,325,7.1,0.0071,0,0.36
12,210,5.6,394,325,7.1,0.0071,0,0.36
1,480,5.13,385,340,10.6,0.0106,0,0.36
2,480,5.24,385,340,10.6,0.0106,0,0.36
3,525,5.12,352,292,10.6,0.0106,0,0.36
4,540,5.09,352,292,10.6,0.0106,0,0.36
5,610,5.28,326,257,10.6,0.0106,0,0.36
6,590,5.15,326,257,10.6,0.0106,0,0.36
7,650,5.12,293,210,10.6,0.0106,0,0.36
8,650,5.26,293,210,10.6,0.0106,0,0.36
9,685,5.1,262,171,10.6,0.0106,0,0.36
10,680,5.16,262,171,10.6,0.0106,0,0.36
11,805,5.28,190,71,10.6,0.0106,0,0.36
12,795,5.14,190,71,10.6,0.0106,0,0.36
1,745,3.17,457,179,Venturi,0.021,0.01,0
2,745,3.11,457,179,Venturi,0.021,0.01,0
3,755,3.29,457,179,Venturi,0.021,0.01,0
4,760,3.17,415,129,Venturi,0.021,0.01,0
5,790,3.27,415,129,Venturi,0.021,0.01,0
6,760,3.14,415,129,Venturi,0.021,0.01,0
7,770,3.14,356,78,Venturi,0.021,0.01,0
8,790,3.34,356,78,Venturi,0.021,0.01,0
9,765,3.06,356,78,Venturi,0.021,0.01,0
10,600,3.2,475,294,Venturi,0.021,0.01,0
11,600,3.15,475,294,Venturi,0.021,0.01,0
12,635,3.34,475,294,Venturi,0.021,0.01,0
1,835,5.3,480,305,Orifice,0.022,0.012,0
2,800,4.88,480,305,Orifice,0.022,0.012,0
3,735,4.46,480,305,Orifice,0.022,0.012,0
4,935,5,410,225,Orifice,0.022,0.012,0
5,800,4.91,410,225,Orifice,0.022,0.012,0
6,845,5.3,410,225,Orifice,0.022,0.012,0
7,870,4.9,345,160,Orifice,0.022,0.012,0
8,855,5,345,160,Orifice,0.022,0.012,0
9,815,4.98,345,160,Orifice,0.022,0.012,0
10,580,4.86,495,380,Orifice,0.022,0.012,0
11,635,5.16,495,380,Orifice,0.022,0.012,0
12,635,5.23,495,380,Orifice,0.022,0.012,0
