run,dh,dist,loc
1,0.19,2.500,1
2,0.19,2.475,1
3,0.17,2.450,1
4,0.17,2.425,1
5,0.16,2.400,1
6,0.15,2.390,1
7,0.14,2.380,1
8,0.12,2.375,1
9,0.12,2.360,1
10,0.13,2.350,1
11,0.11,2.325,1
12,0.11,2.300,1
13,0.10,2.275,1
14,0.08,2.250,1
15,0.07,2.225,1
16,0.06,2.200,1
17,0.05,2.175,1
18,0.04,2.150,1
19,0.03,2.125,1
20,0.03,2.100,1
21,0.00,2.050,1
22,0.00,2.025,1
23,0.00,2.000,1
24,0.00,1.975,1
25,0.00,1.950,1
26,0.00,1.925,1
27,0.01,1.900,1
28,0.01,1.875,1
29,0.02,1.850,1
30,0.04,1.825,1
31,0.05,1.800,1
32,0.06,1.775,1
33,0.07,1.750,1
34,0.09,1.725,1
35,0.11,1.700,1
36,0.12,1.675,1
37,0.13,1.650,1
38,0.13,1.625,1
39,0.14,1.600,1
40,0.16,1.575,1
41,0.17,1.550,1
42,0.18,1.525,1
43,0.19,1.500,1
44,0.19,1.475,1
1,0.19,3.100,2
2,0.19,3.075,2
3,0.19,3.050,2
4,0.18,3.025,2
5,0.18,3.000,2
6,0.18,2.975,2
7,0.18,2.950,2
8,0.18,2.925,2
9,0.18,2.900,2
10,0.17,2.875,2
11,0.16,2.850,2
12,0.16,2.825,2
13,0.16,2.800,2
14,0.08,2.775,2
15,0.06,2.750,2
16,0.02,2.725,2
17,0.00,2.700,2
18,0.00,2.600,2
19,0.00,2.500,2
20,0.00,2.400,2
21,0.00,2.300,2
22,0.00,2.275,2
23,0.00,2.250,2
24,0.06,2.225,2
25,0.10,2.200,2
26,0.14,2.175,2
27,0.19,2.150,2
28,0.19,2.125,2
